date,category,amount,description
2026-01-01,Food,12.50,Lunch at cafe
2026-01-01,Transport,3.00,Bus ticket
2026-01-02,Groceries,45.20,Weekly grocery shopping
2026-01-02,Entertainment,15.00,Movie ticket
2026-01-03,Food,20.00,Dinner with friends
2026-01-03,Bills,60.00,Electricity bill
2026-01-04,Transport,7.50,Taxi ride
2026-01-04,Health,30.00,Pharmacy
2026-01-05,Shopping,55.00,New shoes
2026-01-05,Food,8.50,Coffee and snack
2026-01-06,Entertainment,25.00,Concert ticket
2026-01-06,Food,10.00,Breakfast
2026-01-07,Groceries,35.00,Weekly grocery shopping
2026-01-07,Bills,45.00,Water bill
2026-01-08,Transport,4.00,Metro ride
2026-01-08,Food,18.00,Lunch at restaurant
2026-01-09,Health,22.50,Doctor visit
2026-01-09,Shopping,40.00,Clothes
2026-01-10,Food,15.00,Dinner at home
2026-01-10,Entertainment,12.00,Streaming subscription
2026-01-11,Transport,6.00,Bus ticket
2026-01-11,Food,9.50,Coffee
2026-01-12,Groceries,50.00,Supermarket
2026-01-12,Bills,70.00,Internet bill
2026-01-13,Shopping,30.00,Gifts
2026-01-13,Food,14.00,Lunch
2026-01-14,Entertainment,20.00,Theater
2026-01-14,Health,18.00,Pharmacy
2026-01-15,Transport,5.00,Taxi
2026-01-15,Food,11.00,Dinner
2026-01-16,Groceries,40.00,Weekly grocery shopping
2026-01-16,Bills,65.00,Electricity bill
2026-01-17,Shopping,25.00,Books
2026-01-17,Food,10.50,Coffee
2026-01-18,Entertainment,30.00,Concert ticket
2026-01-18,Transport,8.00,Metro ride
2026-01-19,Health,35.00,Doctor visit
2026-01-19,Food,12.00,Lunch
2026-01-20,Groceries,45.00,Supermarket
2026-01-20,Bills,50.00,Water bill
2026-01-21,Shopping,60.00,Clothes
2026-01-21,Food,16.00,Dinner at restaurant
2026-01-22,Transport,7.50,Taxi
2026-01-22,Entertainment,18.00,Movie
2026-01-23,Food,9.00,Coffee and snack
2026-01-23,Health,28.00,Pharmacy
2026-01-24,Groceries,38.00,Weekly grocery shopping
2026-01-24,Bills,55.00,Internet bill
2026-01-25,Shopping,45.00,New shoes
2026-01-25,Food,13.00,Lunch
